	Feature Detection	File Name	Histogram	Name	SSIM	Square Error
0	99.9985305641609	C:/Users/Gauranga/Pictures/fisv/happy.png	0.8813999593257904	happy	91.64420317493159	3.5258602780030857
1	0.1966432451608541	C:/Users/Gauranga/Pictures/fisv/deffail.png	87.96499967575073	deffail	77.17355573827851	13.10090120029916
2	90.5162998622657	C:/Users/Gauranga/Pictures/fisv/fail.png	51.09400153160095	fail	76.65520516671029	15.118358527961954
3	71.83379020533354	C:/Users/Gauranga/Pictures/fisv/partial fail.png	3.706600144505501	partial fail	88.56618865064614	4.550265574667043
4	50.67452877793852	C:/Users/Gauranga/Pictures/fisv/textFail.png	2.518399991095066	textFail	86.93051692101791	4.3984620493986295
5	92.3779524824608	C:/Users/Gauranga/Pictures/fisv/iPhone X.png	30.78533411026001	iPhone X	57.61022311594266	14.164700789089915
6	91.67073726446586	C:/Users/Gauranga/Pictures/fisv/iPhone 6_7_8 Plus.png	14.615555107593536	iPhone 6_7_8 Plus	73.65323395925566	8.791012593538532
7	100.0	C:/Users/Gauranga/Pictures/fisv/iPhone 6_7_8.png	0.0	iPhone 6_7_8	100.0	0.0
8	95.40502507422259	C:/Users/Gauranga/Pictures/fisv/iPhone 5_SE.png	29.123112559318542	iPhone 5_SE	67.52860152506045	9.53362081410628
9	91.45424224836607	C:/Users/Gauranga/Pictures/fisv/Pixel 2 XL.png	29.962220788002014	Pixel 2 XL	58.399021656634446	13.129413641435066
10	91.58052974677237	C:/Users/Gauranga/Pictures/fisv/Pixel 2.png	14.527110755443573	Pixel 2	74.55186052338327	8.5534014171246
11	91.61502821034328	C:/Users/Gauranga/Pictures/fisv/Galaxy S5.png	10.828444361686707	Galaxy S5	72.67814861708356	9.270423421815915
12	92.72282280734365	C:/Users/Gauranga/Pictures/fisv/iPad pro.png	17.558667063713074	iPad pro	70.93141884315439	11.17593127447784
