	Feature Detection	File Name	Histogram	Name	SSIM	Square Error
0	99.9985305641609	./fisv/happy.png	0.8813999593257904	happy	91.64420317493159	3.5258602780030857
1	0.1966432451608541	./fisv/deffail.png	87.96499967575073	deffail	77.17355573827851	13.10090120029916
2	90.5162998622657	./fisv/fail.png	51.09400153160095	fail	76.65520516671029	15.118358527961954
3	71.83379020533354	./fisv/partial fail.png	3.706600144505501	partial fail	88.56618865064614	4.550265574667043
4	50.67452877793852	./fisv/textFail.png	2.518399991095066	textFail	86.93051692101791	4.3984620493986295
5	100.0	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_38.0.png	0.0	macelc_chrome_38.0	100.0	0.0
6	98.86922660138666	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_40.0.png	3.606799989938736	macelc_chrome_40.0	86.59488375369158	5.718699290922718
7	95.10497016899009	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_41.0.png	1.0842273011803627	macelc_chrome_41.0	99.84981135769368	0.6292712736769157
8	95.04897476018154	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_44.0.png	4.248484224081039	macelc_chrome_44.0	99.86184441780156	0.6178976445533371
9	95.06183068164312	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_45.0.png	4.249455779790878	macelc_chrome_45.0	99.86068034595696	0.6199050332395267
10	90.70799570598851	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_49.0.png	6.179000064730644	macelc_chrome_49.0	88.55143190044778	4.1749300844445285
11	90.76982892653152	./fisv/archive_1ea20f065389efec400591260a6ad92fd985e147/macelc_chrome_50.0.png	8.079399913549423	macelc_chrome_50.0	83.53482642427623	6.027772499854319
12	92.3779524824608	./fisv/iPhone X.png	30.78533411026001	iPhone X	57.61022311594266	14.164700789089915
13	91.67073726446586	./fisv/iPhone 6_7_8 Plus.png	14.615555107593536	iPhone 6_7_8 Plus	73.65323395925566	8.791012593538532
14	100.0	./fisv/iPhone 6_7_8.png	0.0	iPhone 6_7_8	100.0	0.0
15	95.40502507422259	./fisv/iPhone 5_SE.png	29.123112559318542	iPhone 5_SE	67.52860152506045	9.53362081410628
16	91.45424224836607	./fisv/Pixel 2 XL.png	29.962220788002014	Pixel 2 XL	58.399021656634446	13.129413641435066
17	91.58052974677237	./fisv/Pixel 2.png	14.527110755443573	Pixel 2	74.55186052338327	8.5534014171246
18	91.61502821034328	./fisv/Galaxy S5.png	10.828444361686707	Galaxy S5	72.67814861708356	9.270423421815915
19	92.72282280734365	./fisv/iPad pro.png	17.558667063713074	iPad pro	70.93141884315439	11.17593127447784
